,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Difference
219,2018-12-04,43.33000183,43.75999832,41.36000061,41.72000122,2939400,0,0,-3.72%
220,2018-12-05,41.11000061,42.84000015,36.36000061,37.50999832,4528100,0,0,-8.76%
221,2018-12-06,38.49000168,41.02999878,37.65999985,40.34999847,5258000,0,0,4.83%
222,2018-12-07,42.90000153,43.29999924,40.97000122,41.75,3815300,0,0,-2.68%
223,2018-12-10,41.99000168,42.93999863,40.45000076,41.70000076,2552000,0,0,-0.69%
224,2018-12-11,42.36999893,44.68999863,41.75999832,44.29999924,3545200,0,0,4.56%
225,2018-12-12,44.86000061,44.88999939,42.72999954,42.84000015,2575700,0,0,-4.50%
226,2018-12-13,43.52999878,43.66999817,40.79999924,41.09999847,2383100,0,0,-5.58%
227,2018-12-14,40.61000061,42.90999985,39.79999924,41.47000122,2466800,0,0,2.12%
228,2018-12-17,40.84999847,41.90000153,39,39.29000092,2174400,0,0,-3.82%
229,2018-12-18,40,40.36000061,38.13000107,39.49000168,2274200,0,0,-1.27%
230,2018-12-19,39.34999847,40.13999939,37.65000153,37.79999924,2219800,0,0,-3.94%
231,2018-12-20,37.45999908,38.79999924,36.22000122,37.27999878,2581000,0,0,-0.48%
232,2018-12-21,38.25,38.43999863,35.04999924,36,2935300,0,0,-5.88%
233,2018-12-24,34.65000153,37.43999863,34.36000061,36.34000015,1856500,0,0,4.88%
234,2018-12-27,37.09999847,37.59999847,34.97000122,36.45000076,1863400,0,0,-1.75%
235,2018-12-28,36.91999817,38.22999954,35.75,37.25,2276600,0,0,0.89%
236,2018-12-31,37.52999878,37.84999847,36.18999863,36.61000061,1354900,0,0,-2.45%
237,2019-01-02,36,39.84000015,35.84000015,39.27999878,2309700,0,0,9.11%
238,2019-01-03,38.95999908,39.54000092,37.75999832,37.75999832,2017800,0,0,-3.08%
239,2019-01-04,38.47000122,38.91999817,37.66999817,37.93999863,1703300,0,0,-1.38%
240,2019-01-07,38.13999939,39.5,37.72999954,38.29999924,1742000,0,0,0.42%
241,2019-01-08,38.99000168,39.50999832,37.27000046,39.27000046,2257300,0,0,0.72%
242,2019-01-09,40.20000076,44.70000076,39.70000076,44.5,5304100,0,0,10.70%
243,2019-01-10,45.61999893,50.34000015,44.02999878,49.81999969,8258800,0,0,9.21%
244,2019-01-11,49.20999908,53.16999817,48.52999878,50.77999878,6258900,0,0,3.19%
245,2019-01-14,50.52999878,57.79000092,48.90999985,56.45000076,9155900,0,0,11.72%
246,2019-01-15,57.25,59.50999832,54.20999908,54.90000153,8684800,0,0,-4.10%
247,2019-01-16,55,56.54999924,53.74000168,55.68000031,3941900,0,0,1.24%
248,2019-01-17,54.88999939,58.93999863,54.33000183,56.97000122,5485000,0,0,3.79%
249,2019-01-18,58.29999924,59.95000076,57.22000122,57.79999924,4646000,0,0,-0.86%
250,2019-01-21,58.34999847,58.38999939,56.59999847,57.45000076,1548700,0,0,-1.54%
251,2019-01-22,57.95999908,59.47999954,57.11000061,58.25,4086500,0,0,0.50%
252,2019-01-23,58.59000015,59.59000015,56.84000015,58.15000153,3293800,0,0,-0.75%
253,2019-01-24,57.50999832,59.06000137,57.45999908,59.02000046,2847100,0,0,2.63%
254,2019-01-25,61.31000137,64.91000366,60.65000153,64.09999847,7179800,0,0,4.55%
255,2019-01-28,63.54000092,67.62000275,63.13000107,67.22000122,6209100,0,0,5.79%
256,2019-01-29,66.61000061,67.44000244,61.20999908,62.54000092,5301200,0,0,-6.11%
257,2019-01-30,62.77999878,65.26999664,61.83000183,63.09000015,3973900,0,0,0.49%
258,2019-01-31,63.61000061,64.91000366,62.70000076,64.41999817,3055800,0,0,1.27%
259,2019-02-01,64.94999695,66.16999817,63.83000183,63.90000153,3424900,0,0,-1.62%
260,2019-02-04,64.5,67.98999786,64.19000244,65.30000305,4464300,0,0,1.24%
261,2019-02-05,64.69999695,65.51999664,62.50999832,63.75999832,2720600,0,0,-1.45%
